rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
06/01/2021,01:09:03.13,453.12,-1039.06,-114.26,-10.37,-17.13,-72.13,-162.15,-47.10,-5.40,34.74,118.44,
06/01/2021,01:09:03.18,404.79,-995.12,-62.99,-21.59,-27.80,-71.83,-163.95,-42.90,-5.40,34.40,118.43,
06/01/2021,01:09:03.20,381.35,-970.21,-51.76,-23.72,-26.89,-71.59,-162.75,-45.00,-7.35,34.36,118.43,
06/01/2021,01:09:03.20,376.95,-969.73,-43.95,-25.73,-25.30,-73.66,-162.75,-45.00,-7.35,34.40,118.43,
06/01/2021,01:09:03.21,366.70,-967.77,-36.13,-24.45,-22.07,-75.06,-162.60,-43.35,-7.95,34.69,118.43,
06/01/2021,01:09:03.22,345.70,-933.11,-48.83,-24.45,-12.99,-77.93,-163.65,-42.90,-7.20,34.69,118.43,
06/01/2021,01:09:03.23,336.43,-958.01,-34.18,-25.49,-11.52,-79.39,-163.65,-42.90,-7.20,34.55,118.43,
06/01/2021,01:09:03.24,339.36,-935.55,-42.97,-24.45,-8.17,-80.30,-163.20,-44.40,-9.00,34.40,118.43,
06/01/2021,01:09:03.24,327.64,-927.73,-40.53,-22.32,-4.33,-84.02,-163.20,-44.40,-9.00,34.55,118.43,
06/01/2021,01:09:03.25,330.57,-926.27,-25.88,-22.74,1.22,-84.09,-162.90,-43.35,-8.25,34.74,118.43,
06/01/2021,01:09:03.26,324.71,-923.83,-16.11,-22.50,5.98,-90.67,-162.90,-43.35,-8.25,34.93,118.43,
06/01/2021,01:09:03.27,312.01,-905.76,-14.16,-21.40,12.56,-90.67,-165.60,-42.75,-7.05,34.64,118.43,
06/01/2021,01:09:03.28,309.08,-904.79,-14.65,-21.16,13.23,-93.17,-165.00,-41.10,-9.30,34.69,118.43,
06/01/2021,01:09:03.28,315.43,-914.06,-15.14,-21.52,17.13,-96.10,-165.00,-41.10,-9.30,34.36,118.43,
06/01/2021,01:09:03.29,314.94,-903.32,-4.39,-19.27,17.80,-96.59,-165.00,-41.10,-9.30,34.50,118.43,
06/01/2021,01:09:03.30,299.80,-897.95,-5.86,-18.05,18.84,-98.11,-163.95,-42.15,-9.60,34.55,118.43,
06/01/2021,01:09:03.31,281.25,-885.25,0.49,-17.74,20.12,-95.85,-167.10,-42.45,-6.30,34.55,118.43,
06/01/2021,01:09:03.32,289.06,-886.23,5.37,-17.62,20.30,-100.00,-167.10,-42.45,-6.30,34.74,118.43,
06/01/2021,01:09:03.32,273.44,-872.07,2.93,-18.66,20.37,-96.04,-167.10,-42.45,-6.30,34.64,118.43,
06/01/2021,01:09:03.33,278.32,-871.09,8.30,-16.59,21.40,-98.90,-165.30,-40.50,-7.65,34.64,118.43,
06/01/2021,01:09:03.34,259.77,-856.45,-12.70,-17.38,25.06,-95.55,-164.70,-40.35,-8.55,34.93,118.43,
06/01/2021,01:09:03.35,266.60,-845.70,-5.86,-16.77,22.50,-92.56,-164.70,-40.35,-8.55,34.50,118.43,
06/01/2021,01:09:03.35,264.16,-839.84,-7.32,-17.32,25.18,-92.44,-164.70,-38.85,-8.25,34.64,118.43,
06/01/2021,01:09:03.36,245.12,-825.20,3.91,-18.72,24.82,-89.63,-164.70,-38.85,-8.25,34.74,118.43,
06/01/2021,01:09:03.37,259.77,-831.54,-7.32,-17.99,27.80,-86.52,-163.95,-39.60,-8.55,34.64,118.43,
06/01/2021,01:09:03.38,254.39,-806.64,-10.74,-19.82,27.44,-77.38,-165.30,-39.45,-7.65,34.74,118.43,
06/01/2021,01:09:03.39,243.16,-835.45,-21.00,-19.76,31.77,-74.15,-167.10,-40.20,-4.50,34.40,118.43,
06/01/2021,01:09:03.39,242.68,-838.38,0.00,-21.46,31.10,-72.26,-164.10,-37.95,-6.00,34.36,118.43,
06/01/2021,01:09:03.40,230.96,-836.91,-14.16,-19.94,31.65,-68.35,-164.10,-37.95,-6.00,34.64,118.43,
06/01/2021,01:09:03.41,228.52,-854.00,-6.35,-20.00,35.00,-59.57,-164.40,-37.80,-8.55,34.64,118.43,
06/01/2021,01:09:03.42,230.96,-870.12,4.88,-22.50,39.94,-50.67,-164.55,-36.75,-7.05,34.50,118.43,
06/01/2021,01:09:03.43,225.59,-869.14,0.98,-21.71,37.50,-45.73,-166.80,-40.05,-5.70,34.36,118.43,
06/01/2021,01:09:03.43,242.68,-890.14,-8.30,-22.38,42.99,-39.45,-165.00,-37.05,-6.15,34.31,118.43,
06/01/2021,01:09:03.44,244.14,-900.88,-10.74,-21.52,42.99,-30.12,-165.00,-37.05,-6.15,34.40,118.43,
06/01/2021,01:09:03.45,238.28,-940.43,-21.48,-23.41,43.72,-27.32,-165.00,-37.05,-6.15,34.50,118.43,
06/01/2021,01:09:03.46,266.11,-961.91,-33.20,-24.70,46.16,-6.16,-164.85,-37.20,-7.35,34.64,118.43,
06/01/2021,01:09:03.47,263.18,-966.80,-47.36,-23.29,46.34,-1.28,-167.55,-38.55,-5.10,34.55,118.43,
06/01/2021,01:09:03.47,268.07,-957.03,-39.06,-25.24,44.09,3.54,-167.55,-38.55,-5.10,34.64,118.43,
06/01/2021,01:09:03.48,270.51,-960.94,-41.02,-27.13,46.10,8.41,-167.55,-38.55,-5.10,34.64,118.43,
06/01/2021,01:09:03.49,300.29,-980.96,-29.79,-26.83,46.52,19.70,-164.70,-37.35,-6.90,34.74,118.43,
06/01/2021,01:09:03.49,259.77,-1023.44,-38.57,-26.28,42.20,27.56,-164.70,-37.35,-6.90,34.64,118.43,
06/01/2021,01:09:03.51,278.32,-1125.98,-18.55,-27.44,48.90,52.62,-165.00,-37.05,-6.45,34.40,118.43,
06/01/2021,01:09:03.51,289.55,-1203.12,-29.30,-28.05,50.24,66.77,-165.00,-39.60,-2.25,34.55,118.43,
06/01/2021,01:09:03.52,311.04,-1214.84,-35.16,-26.77,50.79,74.57,-165.00,-39.60,-2.25,34.55,118.43,
06/01/2021,01:09:03.53,335.45,-1215.82,-49.80,-25.37,48.05,83.90,-163.20,-38.10,-7.95,34.55,118.43,
06/01/2021,01:09:03.53,359.86,-1190.92,-52.25,-25.61,45.98,91.22,-163.20,-38.10,-7.95,34.55,118.43,
06/01/2021,01:09:03.55,404.30,-1090.82,-146.48,-25.06,36.59,107.56,-164.70,-39.60,-3.60,34.64,118.43,
06/01/2021,01:09:03.55,400.39,-1076.17,-177.73,-20.85,31.34,116.83,-164.55,-40.95,-4.95,34.64,118.43,
06/01/2021,01:09:03.56,433.59,-1042.97,-205.08,-22.44,27.20,122.68,-164.55,-40.95,-4.95,34.50,118.43,
06/01/2021,01:09:03.57,443.36,-1028.32,-238.28,-22.93,20.73,124.15,-163.20,-40.80,-5.40,34.31,118.43,
06/01/2021,01:09:03.57,465.33,-990.23,-267.58,-22.74,17.62,125.79,-163.20,-40.80,-5.40,34.40,118.43,
06/01/2021,01:09:03.59,492.19,-877.44,-306.15,-23.17,3.41,125.06,-162.75,-43.20,-3.75,34.64,118.43,
06/01/2021,01:09:03.59,482.91,-863.28,-324.22,-24.39,-3.54,129.33,-163.95,-43.35,-5.10,34.55,118.43,
06/01/2021,01:09:03.60,467.77,-847.66,-323.73,-23.84,-5.79,126.95,-163.95,-43.35,-5.10,34.40,118.43,
06/01/2021,01:09:03.61,472.66,-842.29,-344.73,-24.02,-9.09,122.32,-161.40,-42.90,-4.65,34.88,118.43,
06/01/2021,01:09:03.61,446.78,-868.65,-341.31,-26.52,-8.72,119.09,-161.40,-42.90,-4.65,34.50,118.43,
06/01/2021,01:09:03.63,410.16,-912.11,-318.85,-28.48,-4.76,112.32,-160.35,-43.35,-4.65,34.69,118.43,
06/01/2021,01:09:03.63,403.32,-928.22,-326.17,-28.23,0.30,110.79,-160.35,-43.35,-4.65,34.55,118.43,
06/01/2021,01:09:03.64,391.60,-955.57,-291.99,-30.73,4.94,103.60,-160.35,-43.35,-4.65,34.40,118.43,
06/01/2021,01:09:03.67,359.86,-1055.66,-295.41,-38.35,61.16,86.34,-160.50,-46.50,-4.50,34.74,118.43,
06/01/2021,01:09:03.69,372.07,-1061.04,-244.63,-42.07,86.59,75.37,-158.40,-45.00,-6.00,34.40,118.43,
06/01/2021,01:09:03.70,414.55,-1065.92,-220.70,-44.82,111.16,62.99,-157.80,-47.10,-4.65,34.69,118.43,
06/01/2021,01:09:03.71,431.15,-1043.46,-211.43,-46.10,119.27,60.79,-157.80,-47.10,-4.65,34.50,118.43,
06/01/2021,01:09:03.72,437.50,-1022.46,-193.36,-44.51,124.51,56.83,-157.35,-46.95,-6.00,34.40,118.43,
06/01/2021,01:09:03.72,448.73,-1001.46,-180.66,-44.57,125.49,52.44,-157.35,-46.95,-6.00,34.50,118.43,
06/01/2021,01:09:03.73,460.45,-974.12,-164.55,-45.18,125.55,51.34,-157.35,-46.95,-6.00,34.40,118.43,
06/01/2021,01:09:03.74,466.31,-923.34,-129.39,-42.68,122.87,42.62,-155.25,-51.60,-4.35,34.50,118.43,
06/01/2021,01:09:03.75,448.73,-889.16,-111.33,-42.99,116.89,41.34,-155.25,-51.60,-4.35,34.40,118.43,
06/01/2021,01:09:03.76,466.80,-864.75,-101.56,-42.38,115.79,39.70,-155.25,-51.60,-4.35,34.83,118.43,
06/01/2021,01:09:03.76,471.19,-840.33,-77.15,-39.70,110.79,35.24,-153.00,-49.50,-5.55,34.64,118.43,
06/01/2021,01:09:03.77,448.24,-829.59,-74.22,-39.09,104.15,36.16,-153.00,-49.50,-5.55,34.69,118.43,
06/01/2021,01:09:03.78,441.41,-801.76,-55.66,-37.07,94.09,32.07,-153.00,-48.75,-4.95,34.64,118.43,
06/01/2021,01:09:03.79,444.34,-801.76,-41.99,-36.95,88.84,27.68,-153.00,-48.75,-4.95,34.64,118.43,
06/01/2021,01:09:03.80,439.94,-789.06,-38.57,-37.56,84.39,30.98,-153.15,-50.10,-5.70,34.74,118.43,
06/01/2021,01:09:03.80,410.64,-784.18,-47.85,-33.17,77.01,31.28,-150.75,-50.25,-6.00,34.64,118.43,
06/01/2021,01:09:03.81,427.73,-782.71,-32.23,-30.91,73.23,33.23,-150.75,-50.25,-6.00,34.64,118.43,
06/01/2021,01:09:03.82,410.64,-785.16,-30.27,-28.17,65.49,32.32,-152.10,-50.10,-4.65,34.64,118.43,
06/01/2021,01:09:03.83,411.13,-774.90,-33.20,-28.48,58.17,41.16,-152.10,-50.10,-4.65,34.50,118.43,
06/01/2021,01:09:03.84,415.53,-789.55,-25.39,-27.20,56.71,39.82,-151.05,-50.10,-4.35,34.83,118.43,
06/01/2021,01:09:03.84,416.02,-782.23,-44.92,-24.70,53.23,41.89,-150.75,-51.00,-7.35,34.64,118.43,
06/01/2021,01:09:03.85,420.90,-787.11,-35.16,-24.94,49.51,42.87,-150.75,-51.00,-7.35,34.64,118.43,
06/01/2021,01:09:03.86,437.01,-790.04,-53.71,-18.23,38.41,56.89,-149.70,-52.05,-4.50,34.50,118.43,
06/01/2021,01:09:03.87,447.75,-784.18,-42.97,-18.48,38.35,58.41,-149.70,-52.05,-4.50,34.74,118.43,
06/01/2021,01:09:03.87,450.68,-805.18,-49.32,-17.01,31.46,62.32,-147.00,-48.90,-5.40,34.69,118.43,
06/01/2021,01:09:03.88,469.73,-789.06,-63.48,-18.84,30.24,63.11,-147.00,-48.90,-5.40,34.83,118.43,
06/01/2021,01:09:03.89,475.10,-782.71,-64.45,-13.35,22.13,69.45,-147.00,-48.90,-5.40,34.74,118.43,
06/01/2021,01:09:03.90,496.58,-802.25,-67.38,-9.57,11.83,72.07,-147.75,-52.65,-5.40,34.40,118.43,
06/01/2021,01:09:03.91,495.12,-811.52,-78.12,-8.05,4.88,74.09,-147.75,-52.65,-5.40,34.50,118.43,
06/01/2021,01:09:03.91,496.09,-804.69,-79.59,-7.13,2.32,73.41,-147.75,-52.65,-5.40,34.40,118.43,
06/01/2021,01:09:03.92,521.48,-811.04,-83.01,-5.24,-2.32,73.84,-146.40,-52.05,-7.05,34.64,118.43,
06/01/2021,01:09:03.93,526.37,-808.59,-92.77,-3.96,-4.02,76.04,-146.40,-52.05,-7.05,34.64,118.43,
06/01/2021,01:09:03.94,544.92,-822.75,-111.33,1.04,-13.29,74.21,-145.50,-51.90,-5.10,34.21,118.43,
06/01/2021,01:09:03.95,566.41,-813.96,-126.95,2.80,-21.40,70.98,-145.50,-51.90,-5.10,34.31,118.43,
06/01/2021,01:09:03.95,562.01,-838.87,-134.28,4.63,-22.38,71.10,-145.50,-51.15,-5.70,34.50,118.43,
06/01/2021,01:09:03.96,562.99,-843.26,-134.28,7.01,-24.39,65.67,-143.55,-52.05,-6.60,34.40,118.43,
06/01/2021,01:09:03.97,573.24,-870.61,-146.97,9.33,-33.48,63.60,-143.55,-52.05,-6.60,34.40,118.43,
06/01/2021,01:09:03.98,605.47,-927.25,-155.27,14.57,-31.16,57.20,-144.90,-50.40,-5.40,34.64,118.43,
06/01/2021,01:09:03.99,594.73,-957.03,-158.20,12.26,-32.38,50.37,-144.90,-50.40,-5.40,34.69,118.43,
06/01/2021,01:09:03.99,602.05,-973.63,-171.88,16.22,-30.06,46.83,-144.90,-51.15,-7.20,34.55,118.43,
06/01/2021,01:09:04.00,601.56,-1005.86,-164.55,18.23,-31.16,39.88,-144.60,-52.80,-6.30,34.55,118.43,
06/01/2021,01:09:04.01,608.40,-1046.39,-178.71,17.62,-29.21,35.49,-144.60,-52.80,-6.30,34.64,118.43,
06/01/2021,01:09:04.02,619.63,-1059.08,-195.31,22.50,-24.15,22.26,-145.95,-51.90,-5.10,34.64,118.43,
06/01/2021,01:09:04.03,617.68,-1065.43,-194.34,21.22,-25.30,13.17,-145.95,-51.90,-5.10,34.50,118.43,
06/01/2021,01:09:04.03,622.56,-1070.31,-193.36,23.54,-17.38,8.35,-144.30,-51.00,-6.30,34.64,118.43,
06/01/2021,01:09:04.04,607.91,-1080.08,-207.52,26.28,-17.93,2.13,-143.70,-50.10,-5.10,34.50,118.43,
06/01/2021,01:09:04.05,600.59,-1074.22,-196.29,28.90,-14.45,-1.95,-143.70,-50.10,-5.10,34.55,118.43,
06/01/2021,01:09:04.05,580.08,-1105.47,-201.66,28.23,-12.99,-7.44,-144.60,-50.25,-6.00,34.64,118.43,
06/01/2021,01:09:04.07,626.46,-1282.71,-215.33,30.98,-2.32,-12.87,-144.30,-51.75,-4.95,34.31,118.43,
06/01/2021,01:09:04.07,661.13,-1336.43,-230.96,28.48,-4.82,-13.78,-144.30,-51.75,-4.95,34.64,118.43,
06/01/2021,01:09:04.08,687.01,-1394.04,-217.29,26.65,-7.74,-17.74,-144.15,-51.15,-6.15,34.64,118.43,
06/01/2021,01:09:04.09,731.45,-1400.39,-199.71,22.32,-12.32,-20.98,-144.15,-51.15,-6.15,34.64,118.43,
06/01/2021,01:09:04.09,726.07,-1396.48,-197.75,22.87,-13.41,-25.06,-145.95,-50.10,-5.10,34.64,118.43,
06/01/2021,01:09:04.11,705.08,-1310.55,-177.73,17.68,-22.26,-36.65,-145.95,-50.10,-5.10,34.64,118.43,
06/01/2021,01:09:04.11,677.73,-1287.60,-165.53,17.32,-26.52,-41.04,-146.25,-52.65,-3.30,34.69,118.43,
06/01/2021,01:09:04.12,655.27,-1264.65,-166.02,15.61,-27.13,-47.32,-144.45,-50.85,-5.70,34.88,118.43,
06/01/2021,01:09:04.13,642.58,-1249.02,-163.09,15.12,-28.54,-56.34,-144.45,-50.85,-5.70,34.69,118.43,
06/01/2021,01:09:04.13,613.28,-1228.52,-152.83,16.89,-32.13,-61.95,-144.45,-50.85,-5.70,34.64,118.43,
06/01/2021,01:09:04.15,559.57,-1160.64,-157.71,19.76,-37.68,-78.05,-145.35,-49.80,-4.20,34.55,118.43,
06/01/2021,01:09:04.18,512.21,-1100.10,-152.83,22.13,-45.85,-105.30,-149.10,-49.65,-1.80,34.64,118.43,
06/01/2021,01:09:04.20,464.84,-1067.87,-133.30,20.79,-51.77,-110.73,-148.65,-49.05,-3.45,34.69,118.43,
06/01/2021,01:09:04.20,448.24,-1057.62,-131.84,22.68,-54.57,-114.51,-151.20,-49.80,-1.65,34.64,118.43,
06/01/2021,01:09:04.22,434.57,-1050.29,-133.30,19.21,-60.06,-117.20,-149.55,-48.60,-3.00,34.36,118.43,
06/01/2021,01:09:04.22,423.34,-1053.71,-115.72,17.38,-61.22,-117.26,-151.65,-51.15,-1.80,34.50,118.43,
06/01/2021,01:09:04.23,418.95,-1037.11,-104.00,16.40,-61.65,-115.98,-150.30,-48.60,-5.10,34.74,118.43,
06/01/2021,01:09:04.24,408.20,-1063.48,-113.28,15.24,-61.77,-119.15,-150.30,-48.60,-5.10,34.69,118.43,
06/01/2021,01:09:04.24,401.86,-1045.90,-99.61,13.78,-63.48,-119.15,-151.65,-47.85,-3.30,34.50,118.43,
06/01/2021,01:09:04.26,379.88,-1042.48,-74.22,6.65,-66.28,-114.21,-154.80,-48.30,-2.70,34.21,118.43,
06/01/2021,01:09:04.26,366.70,-1034.18,-63.48,5.55,-65.37,-115.06,-154.80,-48.30,-2.70,34.69,118.43,
06/01/2021,01:09:04.27,355.47,-1040.53,-68.36,3.84,-63.96,-113.84,-155.25,-46.65,-5.10,34.50,118.43,
06/01/2021,01:09:04.28,343.26,-1031.74,-57.62,2.32,-62.68,-111.83,-155.25,-46.65,-5.10,34.55,118.43,
06/01/2021,01:09:04.28,337.89,-1036.13,-48.83,1.46,-60.67,-111.34,-154.95,-46.65,-3.60,34.74,118.43,
06/01/2021,01:09:04.30,322.27,-1031.25,-28.32,-0.73,-54.21,-109.94,-156.75,-46.35,-2.55,34.50,118.43,
06/01/2021,01:09:04.30,314.45,-1006.84,-21.48,-2.50,-50.79,-108.72,-156.75,-46.35,-2.55,34.40,118.43,
06/01/2021,01:09:04.31,304.69,-1008.79,-33.69,-2.32,-47.74,-111.46,-157.05,-45.90,-6.45,34.64,118.43,
06/01/2021,01:09:04.32,299.32,-1005.37,-28.32,-2.93,-46.89,-109.02,-157.05,-45.90,-6.45,34.40,118.43,
06/01/2021,01:09:04.32,297.36,-992.19,-17.09,-1.16,-43.54,-109.09,-157.05,-45.90,-6.45,34.50,118.43,
06/01/2021,01:09:04.34,290.04,-979.00,4.39,-3.35,-36.22,-108.54,-161.10,-46.35,-3.60,34.69,118.43,
06/01/2021,01:09:04.34,284.18,-964.36,-11.72,-4.33,-31.89,-107.44,-161.10,-46.35,-3.60,34.50,118.43,
06/01/2021,01:09:04.35,275.88,-944.82,-11.23,-3.66,-25.55,-107.80,-161.10,-46.35,-3.60,34.64,118.43,
06/01/2021,01:09:04.36,284.18,-938.48,-15.14,-3.54,-22.13,-106.28,-161.10,-46.35,-3.60,34.50,118.43,
06/01/2021,01:09:04.36,270.51,-930.18,3.42,-3.17,-21.77,-106.83,-160.95,-43.50,-4.50,34.40,118.43,
06/01/2021,01:09:04.38,269.04,-911.62,20.02,-1.28,-14.09,-106.46,-159.75,-42.75,-5.25,34.74,118.43,
06/01/2021,01:09:04.38,261.72,-900.39,17.58,0.00,-12.13,-105.00,-159.75,-42.75,-5.25,34.55,118.43,
06/01/2021,01:09:04.39,267.58,-894.53,15.62,0.49,-12.01,-103.11,-161.25,-43.20,-6.00,34.74,118.43,
06/01/2021,01:09:04.40,271.00,-889.16,25.88,2.20,-10.85,-103.54,-161.25,-43.20,-6.00,34.88,118.43,
06/01/2021,01:09:04.40,258.30,-876.46,24.90,0.73,-7.56,-103.90,-162.90,-42.90,-6.15,34.55,118.43,
06/01/2021,01:09:04.41,253.42,-872.07,35.16,2.20,-7.50,-104.88,-162.90,-42.90,-6.15,34.55,118.43,
06/01/2021,01:09:04.42,258.79,-846.19,23.93,4.02,-5.24,-99.63,-163.20,-42.15,-3.60,34.50,118.43,
06/01/2021,01:09:04.43,246.09,-842.77,17.58,4.63,-6.04,-98.05,-165.75,-43.35,-3.60,34.40,118.43,
06/01/2021,01:09:04.43,250.98,-841.80,21.48,3.17,-4.27,-94.39,-165.75,-43.35,-3.60,34.64,118.43,
06/01/2021,01:09:04.44,260.74,-821.78,31.74,3.66,-4.51,-93.41,-162.90,-41.10,-6.45,34.50,118.43,
06/01/2021,01:09:04.45,239.26,-817.38,28.32,7.32,-5.61,-90.12,-162.90,-41.10,-6.45,34.55,118.43,
06/01/2021,01:09:04.46,231.45,-794.43,16.60,4.76,-1.28,-84.76,-163.50,-41.70,-4.50,34.50,118.43,
06/01/2021,01:09:04.47,225.10,-805.18,25.88,5.00,1.52,-80.61,-165.75,-39.60,-5.40,34.31,118.43,
06/01/2021,01:09:04.47,230.96,-792.48,24.41,4.33,4.09,-80.06,-165.75,-39.60,-5.40,34.50,118.43,
06/01/2021,01:09:04.48,224.61,-798.34,10.25,4.33,2.62,-74.21,-163.65,-40.05,-6.15,34.50,118.43,
06/01/2021,01:09:04.49,223.14,-795.41,-0.49,5.37,3.66,-68.23,-163.65,-40.05,-6.15,34.64,118.43,
06/01/2021,01:09:04.50,222.66,-808.59,3.91,3.29,7.01,-60.73,-166.20,-38.55,-4.35,34.74,118.43,
06/01/2021,01:09:04.51,214.36,-817.38,1.95,5.91,10.00,-54.94,-166.80,-38.55,-4.65,34.31,118.43,
06/01/2021,01:09:04.51,212.89,-840.33,-1.95,4.51,15.30,-47.74,-166.80,-38.55,-4.65,34.64,118.43,
06/01/2021,01:09:04.52,224.61,-830.57,-1.95,6.22,13.66,-41.34,-164.10,-39.45,-4.95,34.74,118.43,
06/01/2021,01:09:04.52,229.00,-846.68,-12.21,5.43,16.77,-36.65,-164.10,-39.45,-4.95,34.64,118.43,
06/01/2021,01:09:04.54,210.45,-875.49,-27.34,0.91,18.05,-20.24,-164.85,-37.95,-5.55,34.69,118.43,
06/01/2021,01:09:04.55,239.26,-893.55,-20.02,1.52,22.20,-11.46,-164.85,-37.95,-5.55,34.36,118.43,
06/01/2021,01:09:04.55,235.84,-919.92,-41.02,-0.85,22.26,-3.72,-165.45,-37.35,-3.60,34.64,118.43,
06/01/2021,01:09:04.56,270.02,-905.76,-50.78,-2.13,19.70,5.18,-163.80,-39.00,-7.05,34.64,118.43,
06/01/2021,01:09:04.56,253.42,-907.23,-43.46,-1.10,21.10,14.02,-163.80,-39.00,-7.05,34.50,118.43,
06/01/2021,01:09:04.58,288.09,-906.25,-75.68,-4.51,21.77,33.11,-164.55,-39.00,-4.20,34.88,118.43,
06/01/2021,01:09:04.59,268.55,-900.88,-99.12,-6.95,23.41,39.76,-164.70,-76.50,-4.20,34.69,118.43,
06/01/2021,01:09:04.59,270.02,-914.06,-86.43,-5.98,21.71,47.44,-164.70,-38.10,-5.10,34.40,118.43,
06/01/2021,01:09:04.60,247.07,-961.91,-84.47,-6.46,26.34,57.07,-164.70,-38.10,-5.10,34.64,118.43,
06/01/2021,01:09:04.60,239.26,-999.02,-81.54,-7.80,29.21,69.21,-164.70,-38.10,-5.10,34.69,118.43,
06/01/2021,01:09:04.61,248.54,-1104.98,-73.73,-9.88,32.38,79.39,-163.20,-38.10,-5.10,34.64,118.43,
06/01/2021,01:09:04.63,309.57,-1210.45,-88.87,-11.22,37.74,110.91,-164.10,-39.00,-5.55,34.64,118.43,
06/01/2021,01:09:04.63,336.43,-1210.45,-98.14,-10.67,36.52,120.79,-164.10,-39.00,-5.55,34.55,118.43,
06/01/2021,01:09:04.64,364.26,-1209.47,-110.35,-13.60,35.06,129.82,-160.95,-40.50,-5.55,34.36,118.43,
06/01/2021,01:09:04.64,382.81,-1166.50,-148.93,-12.50,35.55,133.66,-160.95,-40.50,-5.55,34.64,118.43,
06/01/2021,01:09:04.65,404.30,-1127.44,-172.85,-13.11,34.09,142.74,-162.00,-39.75,-6.00,34.64,118.43,
06/01/2021,01:09:04.69,517.09,-922.85,-365.72,-16.46,1.28,168.72,-161.40,-42.15,-4.05,34.50,118.43,
06/01/2021,01:09:04.71,511.23,-867.68,-391.60,-20.43,-10.49,165.55,-160.35,-44.85,-3.00,34.50,118.43,
06/01/2021,01:09:04.71,503.42,-893.07,-378.91,-20.79,-14.88,166.34,-160.35,-44.85,-3.00,34.64,118.43,
06/01/2021,01:09:04.72,485.84,-919.92,-367.68,-25.79,-12.32,161.83,-157.80,-44.10,-4.65,34.64,118.43,
06/01/2021,01:09:04.73,482.42,-926.76,-368.65,-26.28,-14.76,158.90,-157.80,-44.10,-4.65,34.55,118.43,
06/01/2021,01:09:04.74,422.85,-1009.28,-318.85,-31.22,-5.73,148.84,-157.95,-46.50,-4.50,34.64,118.43,
06/01/2021,01:09:04.75,411.13,-1049.80,-303.71,-31.83,0.24,145.85,-159.60,-46.65,-4.05,34.40,118.43,
06/01/2021,01:09:04.75,402.34,-1078.61,-291.02,-34.51,12.13,139.02,-159.60,-46.65,-4.05,34.64,118.43,
06/01/2021,01:09:04.76,398.44,-1093.75,-273.44,-35.73,20.06,134.02,-159.60,-46.65,-4.05,34.69,118.43,
06/01/2021,01:09:04.77,401.86,-1126.95,-278.81,-37.32,31.10,128.48,-156.00,-46.65,-5.40,34.64,118.43,
06/01/2021,01:09:04.78,416.99,-1175.78,-260.25,-38.90,66.71,110.67,-155.70,-48.15,-6.45,34.50,118.43,
06/01/2021,01:09:04.79,432.62,-1195.31,-252.44,-41.77,80.00,104.76,-155.70,-48.15,-6.45,34.50,118.43,
06/01/2021,01:09:04.79,446.78,-1191.41,-237.79,-39.82,94.76,95.98,-155.70,-48.15,-6.45,34.40,118.43,
06/01/2021,01:09:04.80,457.03,-1186.04,-215.33,-40.30,106.34,88.17,-153.75,-49.50,-5.55,34.64,118.43,
06/01/2021,01:09:04.81,463.38,-1179.69,-199.71,-40.37,114.88,81.89,-154.35,-48.75,-6.60,34.55,118.43,
06/01/2021,01:09:04.82,486.33,-1115.72,-174.32,-40.67,130.00,63.35,-154.35,-48.75,-6.60,34.40,118.43,
06/01/2021,01:09:04.83,482.91,-1096.68,-156.25,-37.80,132.50,54.02,-152.25,-51.00,-3.45,34.74,118.43,
06/01/2021,01:09:04.83,465.82,-1055.18,-142.58,-38.05,136.40,49.51,-152.25,-51.00,-3.45,34.50,118.43,
06/01/2021,01:09:04.84,470.70,-1011.23,-121.09,-37.50,135.18,44.70,-150.75,-48.75,-6.00,34.64,118.43,
06/01/2021,01:09:04.85,474.61,-981.45,-100.10,-39.39,134.02,37.62,-150.75,-48.75,-6.00,34.55,118.43,
06/01/2021,01:09:04.86,472.17,-910.64,-71.78,-34.21,127.74,31.71,-150.60,-51.15,-4.65,34.55,118.43,
06/01/2021,01:09:04.87,483.40,-885.25,-61.04,-34.09,121.89,26.34,-150.60,-51.15,-3.30,34.64,118.43,
06/01/2021,01:09:04.87,486.82,-858.89,-42.97,-33.60,117.68,25.37,-146.85,-50.55,-7.65,34.31,118.43,
06/01/2021,01:09:04.88,488.77,-840.33,-30.27,-33.11,111.77,26.77,-146.85,-50.55,-7.65,34.64,118.43,
06/01/2021,01:09:04.89,473.14,-823.24,-11.72,-32.74,103.11,27.13,-147.60,-50.25,-5.25,34.74,118.43,
06/01/2021,01:09:04.90,459.47,-803.22,10.74,-31.10,81.95,28.78,-147.15,-50.55,-6.00,34.69,118.43,
06/01/2021,01:09:04.91,452.15,-786.13,17.58,-31.65,75.43,27.93,-148.80,-53.40,-4.05,34.55,118.43,
06/01/2021,01:09:04.91,452.64,-767.58,5.37,-28.84,70.00,29.21,-148.80,-53.40,-4.05,34.64,118.43,
06/01/2021,01:09:04.92,443.85,-767.58,19.53,-28.05,63.35,31.28,-145.95,-50.10,-5.70,34.64,118.43,
06/01/2021,01:09:04.92,446.29,-766.11,25.88,-28.90,60.00,32.38,-146.10,-50.25,-7.35,34.88,118.43,
